Key,Description,Standard,CN
SETTEXT.Flowchart.217,,o' clock,o' clock
SETTEXT.Flowchart.221,,8,8
SAY.Flowchart.2.You,,Today is Mid-Autumn Festival.,今天是中秋节。
SAY.Flowchart.3.You,,But I still have neither mooncakes in my fridge nor friends to watch the moon together.,我还没买月饼。也没有朋友可以一起赏月。
SAY.Flowchart.4.You,,"Maybe I should look up my contacts to find someone to buy some together, and have  a HUUUGE party at night.",也许我应该找个朋友一起庆祝一下。
SAY.Flowchart.5.You,,"Anyway, looking for people does not mean I will actually call them. It is the safest thing to do.",也没事，我就是看看有没有这样的朋友。也不一定要打电话过去。
SAY.Flowchart.60.You,,"Remember, there should be no phone calls after 22 at night, or my roommate may complain about the noise.",晚上十点以后就不能打电话了，不然室友又会抱怨我很吵。
SETTEXT.Flowchart.788,,22,22
MENU.Flowchart.10,,Mom and Dad,爸妈
MENU.Flowchart.11,,Big Bear,大熊
MENU.Flowchart.13,,DJ,DJ
MENU.Flowchart.14,,Liu Yifei,刘亦菲
MENU.Flowchart.15,,Sakura,Sakura
MENU.Flowchart.16,,W,W
SAY.Flowchart.18.You,,"Oh mom, oh dad! ",啊，爸妈！！
SAY.Flowchart.19.You,,"I should have been staying with you at home, to spend this cute little 3-day holiday.",我本该在家和你们一起过节，
SAY.Flowchart.20.You,,"But now in reality, I am here alone in a foreign country, lying in bed, being afraid to call you and complain my lonelyness.",现在却要在异国独自一人。
SAY.Flowchart.21.You,,"Also, mom and dad cannot accompany me to buy mooncakes, since we are in different countries.",爸妈也不能陪我去买月饼。
SAY.Flowchart.22.You,,It is already late at night back home. Maybe I should not call them. They may get worried.,家里现在已经很晚了。可能我不应该给他们打电话，他们可能会担心。
SAY.Flowchart.225.You,,"Or Maybe I should call them. China now is celebrating their Mid-Autumn Festival eve, a festival for family to union.",或者我应该打？国内现在在中秋节小长假，中秋节是家人团聚的日子。
SAY.Flowchart.226.You,,Mom and Dad should be happy to receive my call,爸妈接到我的电话应该会挺开心的，
SAY.Flowchart.227.You,,···If I manage to hide my loneliness.,……如果我能忍住不跟他们抱怨我有多无聊的话。
SAY.Flowchart.228.You,,"well,",呃，
MENU.Flowchart.229,,call them,打电话
MENU.Flowchart.230,,I need to look at other contacts first,我得再看看别的人
SAY.Flowchart.233.You,,Should I call Mon and Dad? ,我应该给爸妈打电话吗？
MENU.Flowchart.234,,Yes,是
MENU.Flowchart.235,,I need to look at other contacts first,我得再看看别的人
SAY.Flowchart.39.You,,'Big Bear' is my cousin. ,大熊是我的表姐。
SAY.Flowchart.40.You,,I call her bear because her nickname sounds like 'bear' in Chinese——'Xiong'. ,我叫她大熊是因为她的小名用方言说就是熊。
SAY.Flowchart.41.You,,And she calls me 'Big Deer' for the same reason. ,她叫我鹿子。原因一样。
SAY.Flowchart.42.You,,We sound like sisters living in a zoo.,听起来像动物园姐妹似的。
SAY.Flowchart.57.You,,"When she was studying for her graduate degree in England last year, she turned to me very often when she is bored.",去年她在英国读研的时候，无聊的时候一直给我发信息。
SAY.Flowchart.58.You,,"And now, it should be my turn.",现在该轮到我了。
SAY.Flowchart.59.You,,"But now that she is back in China, maybe she is spending time with her family, and has  no spare time to care about me.",不过她现在应该和家人在一起，没什么时间在意我吧。
SAY.Flowchart.64.You,,I think I should think more carefully.,我得再仔细想想。
SAY.Flowchart.241.You,,"My aunt used to say,",我舅妈以前讲过，
SAY.Flowchart.334.Aunt,,"Haha, I believe your friendship will not last long without bear's effort. ",如果不是我表姐一直在主动的话，我们根本没有可能成为朋友。
SAY.Flowchart.335.You,,I'm not complainging about her. I know what she was saying.,不是我抱怨，我知道她说得对。
SAY.Flowchart.336.You,,"I am not good at keeping friendship, because I'm afraid of stuff like sending messages.",我不是很擅长交朋友，而且我还有发短信恐惧症，就是想不到有什么可聊的。
SAY.Flowchart.337.You,,"I just can't think of anything to say. Unlike me, bear is good at talking to people.",大熊和我不一样，她很会聊天。
SAY.Flowchart.338.You,,"I can take this chance to change my self, or not.",也许这次也是一个自我锻炼的机会？
MENU.Flowchart.242,,call her,打电话
MENU.Flowchart.243,,I need to look at other contacts first,我得再看看别的人
SAY.Flowchart.246.You,,Should I call Big Bear? ,我应该给大熊打电话吗？
MENU.Flowchart.247,,Yes,是
MENU.Flowchart.248,,I need to look at other contacts first,我得再看看别的人
SETTEXT.Flowchart.46,,{$time},{$time}
SETTEXT.Flowchart.172,,{$time},{$time}
SETTEXT.Flowchart.621,,{$time},{$time}
SETTEXT.Flowchart.622,,o' clock,o' clock
SAY.Flowchart.623.,,……,……
SAY.Flowchart.249.You,,"Hi mom, are you ok to talk now?",妈，现在有空聊聊吗？
SAY.Flowchart.618.Mom,,"Of course. We are at your grandmothers', and I'm preparing for lunch.",有的。我们在乡下你奶奶家，我在做午饭。
SAY.Flowchart.626.Mom,,Did you eat?,你吃了吗？
MENU.Flowchart.628,,"Yeah, I had beef stew",吃了，吃了炖牛肉
MENU.Flowchart.629,,"Yeah, instant noodle.",吃了，吃了方便面
SETTEXT.Flowchart.413,,{$time},{$time}
SETTEXT.Flowchart.414,,o' clock,o' clock
SAY.Flowchart.382.,,……,……
SAY.Flowchart.383.Bear,,"Hey sister, see who it is!",嘿姐妹！
SAY.Flowchart.384.Bear,,Is the sun coming from the West today? ,你也会主动找我，太阳从西边出来了
MENU.Flowchart.385,,I'm just bored.,我就是有点无聊。
MENU.Flowchart.386,,I'm calling to wish you a happy Mid-Autumn Festival.,我打电话来问个中秋节好。
